Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice
500001,22960,JAM MAKING SET WITH JARS,48,2025-10-10 00:00:00,2.55,20001.0,United Kingdom,122.4
500001,20725,LUNCH BAG RED RETROSPOT,5,2025-10-10 00:00:00,1.65,20001.0,United Kingdom,8.25
500002,22423,REGENCY CAKESTAND 3 TIER,10,2025-01-29 00:00:00,12.75,20001.0,United Kingdom,127.5
500002,85099B,JUMBO BAG RED RETROSPOT,2,2025-01-29 00:00:00,1.79,20001.0,United Kingdom,3.58
500002,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-01-29 00:00:00,2.55,20001.0,United Kingdom,61.2
500003,22197,POPCORN HOLDER,2,2025-06-05 00:00:00,0.85,20001.0,United Kingdom,1.7
500003,85099B,JUMBO BAG RED RETROSPOT,2,2025-06-05 00:00:00,1.79,20001.0,United Kingdom,3.58
500003,22423,REGENCY CAKESTAND 3 TIER,24,2025-06-05 00:00:00,12.75,20001.0,United Kingdom,306.0
500003,20725,LUNCH BAG RED RETROSPOT,48,2025-06-05 00:00:00,1.65,20001.0,United Kingdom,79.2
500003,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-06-05 00:00:00,1.69,20001.0,United Kingdom,40.56
500004,47566,PARTY BUNTING,10,2024-10-13 00:00:00,4.95,20002.0,United Kingdom,49.5
500004,POST,POSTAGE,10,2024-10-13 00:00:00,18.0,20002.0,United Kingdom,180.0
500004,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2024-10-13 00:00:00,1.69,20002.0,United Kingdom,40.56
500004,POST,POSTAGE,5,2024-10-13 00:00:00,18.0,20002.0,United Kingdom,90.0
500004,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2024-10-13 00:00:00,1.69,20002.0,United Kingdom,81.12
500005,47566,PARTY BUNTING,10,2024-09-15 00:00:00,4.95,20003.0,Spain,49.5
500005,22197,POPCORN HOLDER,24,2024-09-15 00:00:00,0.85,20003.0,Spain,20.4
500006,85099B,JUMBO BAG RED RETROSPOT,10,2025-12-22 00:00:00,1.79,20004.0,United Kingdom,17.9
500006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-12-22 00:00:00,2.55,20004.0,United Kingdom,2.55
500006,22197,POPCORN HOLDER,1,2025-12-22 00:00:00,0.85,20004.0,United Kingdom,0.85
